
#-ah-	UNKNOWN
#-aš1!	UNKNOWN
#-ba-ni-ma	UNKNOWN
#-da-	UNKNOWN
#-e	UNKNOWN
#-it-,	UNKNOWN
#-kam	UNKNOWN_NOUN_ADJ
#-ku	UNKNOWN
#-ma	UNKNOWN
#-mu?}	UNKNOWN
#-ni!-	UNKNOWN
#-ni-kà-IR-šu	UNKNOWN
#-ni-ma	UNKNOWN
#-ta!-	UNKNOWN
#-tum	UNKNOWN_NOUN_ADJ
#-tù-	UNKNOWN
#-un!-	UNKNOWN
#-x	UNKNOWN
#-šu	UNKNOWN
#-šum}	UNKNOWN
#En!-na-A-šur	UNKNOWN
#GA-ma-ma	UNKNOWN
#KIŠIB-{kà-a}	UNKNOWN
#Kam!-ma!-li-a	UNKNOWN
#Ku-bi-na-ah-šu	UNKNOWN
#Ku-ku	UNKNOWN
#Ku-na-a	UNKNOWN
#Ni-ma-	UNKNOWN
#TÚG-ta-nu	UNKNOWN
#a-GA-ZI-im	UNKNOWN_NOUN_ADJ
#a-dí	UNKNOWN
#a-gu5-ru-ni?	UNKNOWN
#a-na	UNKNOWN
#a-na-HI	UNKNOWN
#a-na-hi	UNKNOWN
#a-ni-GI}	UNKNOWN
#a-ša-qal	UNKNOWN
#a-šu-LÁ-šu	UNKNOWN
#a-šu-mì-kà	UNKNOWN
#ba-ri-ni	UNKNOWN
#d.NA!-líl-ba-ni	UNKNOWN
#dí-in	UNKNOWN
#dí-in}	UNKNOWN
#eppaš-šum	UNKNOWN_NOUN_ADJ
#eq-	UNKNOWN
#eṭe-ru	UNKNOWN
#gi5-ri-ma	UNKNOWN
#gám-ru	UNKNOWN
#i-DA-hi;	UNKNOWN
#i-dí-i-ma	UNKNOWN
#i-hi-iṭ-ma	UNKNOWN
#i-ku-ri-a	UNKNOWN
#i-kà-pár	UNKNOWN
#i-ma-gu5-ru-kà	UNKNOWN
#i-mu-a	UNKNOWN
#i-ša-lá-mu-tim	UNKNOWN_NOUN_ADJ
#i-ṭá-hi	UNKNOWN
#i-ší-ú-ni-ma?	UNKNOWN
#il5-la-ak}	UNKNOWN
#im-qú-ut	UNKNOWN
#iš-bi4-ma	UNKNOWN
#ki-ri-tim	UNKNOWN_NOUN_ADJ
#ki?-ra-tim	UNKNOWN_NOUN_ADJ
#kà?-	UNKNOWN
#li-GA-ší	UNKNOWN
#li-bi	UNKNOWN
#li-dí-na-ku-nu-tí	UNKNOWN
#li-ik-pu!-ur}	UNKNOWN
#li-ša-ak-nu-kum	UNKNOWN_NOUN_ADJ
#li-ṣi;	UNKNOWN
#li-ṭù-lu	UNKNOWN
#lu-la-pì-ta-tum}	UNKNOWN
#lu-ri-HI-ma	UNKNOWN
#lu-ta!-dí-in;	UNKNOWN
#ma-na	UNKNOWN
#me-	UNKNOWN
#me-NI-e	UNKNOWN
#n\-elia	UNKNOWN
#ni-ik-nu-uk-ma	UNKNOWN
#ni-zi-ta-ku-nu-tí-ma	UNKNOWN
#sú-ri-im	UNKNOWN_NOUN_ADJ
#ta-dí-RU-šu-um	UNKNOWN_NOUN_ADJ
#ta-hi-tum}	UNKNOWN
#tuštabba^-ni	UNKNOWN
#tám-kà-ri-im	UNKNOWN_NOUN_ADJ
#té-er-tám	UNKNOWN
#té-ṭí-ir	UNKNOWN
#wata-ru?	UNKNOWN
#{-lá-la-}!}	UNKNOWN
#{..-šum}	UNKNOWN
#{Ha-mì-ṣa-nim}}	UNKNOWN
#{Ku-du-bi-iš}}	UNKNOWN
#{Ku?!-tù}?}	UNKNOWN
#{KÙ.BABBAR.áp-šu!-nu}	UNKNOWN
#{Wa-za}	UNKNOWN
#{a-na}}	UNKNOWN
#{a-pu-úh	UNKNOWN
#{a-qá-té-e}?}	UNKNOWN
#{e-hi-id}}	UNKNOWN
#{hi-da-ma}!}	UNKNOWN
#{i-re-qú}}	UNKNOWN
#{ki-dim}	UNKNOWN
#{li-ba-kà	UNKNOWN
#{li-qé-a-ma	UNKNOWN
#{ni-sí-ma!}	UNKNOWN
#{ra-biṣ-šu-nu}}	UNKNOWN
#{ta-ze-ar}}	UNKNOWN
#{té-ra-bu}}	UNKNOWN
#{té-ru-bu}}	UNKNOWN
#{tù-ša-am-ri-ṣú}?}	UNKNOWN
#{ur-kà-at-sú}}	UNKNOWN
#{wa-ša-áb}?}	UNKNOWN
#{ú-dí-i}?}	UNKNOWN
#{ša-ar-tim}}	UNKNOWN
#{Šu-li}	UNKNOWN
#{šu-lu-AH}!}	UNKNOWN
#{šé-bi-lam}?}	UNKNOWN
#{ší-a-tim}?}	UNKNOWN
#Ú-{be-tum}	UNKNOWN
#ù-mu	UNKNOWN
#ú-ma-qá-at	UNKNOWN
#ú-ta-NI	UNKNOWN
#ú-za-ku	UNKNOWN
#ša-lá-ṭim	UNKNOWN_NOUN_ADJ
#ṭa-tí	UNKNOWN
#Šu-Iš-ha-ra	UNKNOWN
#šu-a-am	UNKNOWN_NOUN_ADJ
#šu-ta-lá-al	UNKNOWN
#ṭup-pá-kà	UNKNOWN
#ší-ip-ri-kà	UNKNOWN
(#-šu-mì	UNKNOWN
(Bu-ru-tum?)	UNKNOWN
(Ras.)-A-šur	UNKNOWN
(lá-al-qé-e?	UNKNOWN
(x)-Ištar	UNKNOWN
(x)-dí-tum	UNKNOWN_NOUN_ADJ
*DINGIR!-ma	UNKNOWN
*I-na-a	UNKNOWN
*Kà-as-lúm	UNKNOWN
*Pu-šu-ke-en6	UNKNOWN
*a-dí-in	UNKNOWN
*a-na-ku-ma	UNKNOWN
*a-tù-nu-ma	UNKNOWN
*am-tám	UNKNOWN
*e-nu-UM}	UNKNOWN
*e-ra-áb	UNKNOWN
*i-*ša-*qal	UNKNOWN
*i-da-a	UNKNOWN
*i-na	UNKNOWN
*ki-ma	UNKNOWN
*li-bi4-kà	UNKNOWN
*ma-a	UNKNOWN
*ma-na	UNKNOWN
*na-ru-uq	UNKNOWN
*pì-té-ma	UNKNOWN
*tap-pá-ú-kà	UNKNOWN
*té-er-ti1	UNKNOWN
*té-pu-ša	UNKNOWN
*um-mì-a-*ni-a	UNKNOWN
*um-mì-a-ni-a	UNKNOWN
*war-kà-at-ki	UNKNOWN
*Šu-Ištar	UNKNOWN
*ṭup-pè-šu?	UNKNOWN
-#{inumi3}	UNKNOWN
-#{la2}	UNKNOWN
-*iš-tí-šu	UNKNOWN
-A-šur	UNKNOWN
-A-šur-be-el-a-wa-tim	UNKNOWN_NOUN_ADJ
-AN.NA-kà	UNKNOWN
-Aššur?	UNKNOWN
-Ib-ni-d.IM-ma	UNKNOWN
-KÙ.BI4-šu-nu	UNKNOWN
-a-dí	UNKNOWN
-a-na	UNKNOWN
-a-na-dí	UNKNOWN
-a-ta	UNKNOWN
-a-ta-ma	UNKNOWN
-a-wa-tim	UNKNOWN_NOUN_ADJ
-a-šu-mì-kà	UNKNOWN
-a-ṣí-ip-tím	UNKNOWN
-ak-	UNKNOWN
-al-	UNKNOWN
-al-qé	UNKNOWN
-ca.	UNKNOWN
-dí-in	UNKNOWN
-el?	UNKNOWN
-i-lá-qé-ú	UNKNOWN
-i-na	UNKNOWN
-im	UNKNOWN_NOUN_ADJ
-ki-im	UNKNOWN_NOUN_ADJ
-ku-nu-ki-a	UNKNOWN
-ku-un	UNKNOWN
-kum!	UNKNOWN
-kà	UNKNOWN
-kà-ri-im	UNKNOWN_NOUN_ADJ
-li-ir-de8-a-šu	UNKNOWN
-li-li-kam	UNKNOWN_NOUN_ADJ
-lá	UNKNOWN
-lí	UNKNOWN
-ma	UNKNOWN
-ma-na	UNKNOWN
-na-ší-ra-am	UNKNOWN_NOUN_ADJ
-ni	UNKNOWN
-nu	UNKNOWN
-pì-té-e	UNKNOWN
-qá-tim	UNKNOWN_NOUN_ADJ
-qí-bi-ma	UNKNOWN
-sà-he-er	UNKNOWN
-sú-nu-tí	UNKNOWN
-tim	UNKNOWN_NOUN_ADJ
-x	UNKNOWN
-{TUG}ku-sí-ta-an	UNKNOWN
-{TUG}ku-ta-num	UNKNOWN_NOUN_ADJ
-{TUG}lu-bu-šu-um	UNKNOWN_NOUN_ADJ
-{TUG}ra-qá-ta-an	UNKNOWN
-{TUG}ší-li-ip-ki-um	UNKNOWN_NOUN_ADJ
-{TÚG.HI.A}šu-ru-tim	UNKNOWN_NOUN_ADJ
-{TÚG}ku-ta-ni	UNKNOWN
-{TÚG}ku-ta-nu	UNKNOWN
-{TÚG}ra-qí-té-en6	UNKNOWN
-{TÚG}šu-lu-up-kà-e-a	UNKNOWN
-{TÚG}šu-ra-an	UNKNOWN
-Ú-ku	UNKNOWN
-ša	UNKNOWN
-ša-*bu	UNKNOWN
-ša-ha-at	UNKNOWN
-šu	UNKNOWN
-šu-	UNKNOWN
-šu-ma	UNKNOWN
-šum	UNKNOWN_NOUN_ADJ
-šum,	UNKNOWN
-šé-bi4-lam	UNKNOWN_NOUN_ADJ
-šé-bi4-lá-nim	UNKNOWN_NOUN_ADJ
-ší-tí	UNKNOWN
-šùr	UNKNOWN
..-kàl	UNKNOWN
.a-hi	UNKNOWN
/A-sá-num	UNKNOWN_NOUN_ADJ
/ez-ba-ma	UNKNOWN
/i-na	UNKNOWN
1-{iš-té-en6}	UNKNOWN
1-{iš-té-et}	UNKNOWN
10-tum	UNKNOWN_NOUN_ADJ
10.ši!-šu	UNKNOWN
16b-17a	UNKNOWN
17b-c	UNKNOWN
2-{sé-ni}-šu	UNKNOWN
2-{ša-na}	UNKNOWN
2-{šé-na}	UNKNOWN
2-{šé-ni}-šu	UNKNOWN
2-{šé-né}	UNKNOWN
2-{ší-na}	UNKNOWN
2-{ší-ta}	UNKNOWN
2.ší-na	UNKNOWN
21-ma	UNKNOWN
21b-22a	UNKNOWN
22b-23a	UNKNOWN
24b-25a	UNKNOWN
27b-28a	UNKNOWN
3.tum-ma	UNKNOWN
3.tù-ma	UNKNOWN
3.ší-šu	UNKNOWN
30-ma	UNKNOWN
34b-35a	UNKNOWN
36b-37a	UNKNOWN
38c-39a	UNKNOWN
3?-ma	UNKNOWN
40b-41a	UNKNOWN
41b-42a	UNKNOWN
43b-44a	UNKNOWN
44b-45a	UNKNOWN
4b-5a	UNKNOWN
5'lá-as-ni-iq-šu	UNKNOWN
5-{ší-šu}	UNKNOWN
5.ší-šu	UNKNOWN
7b-8a	UNKNOWN
A!-ta-ta	UNKNOWN
A-*na-lí	UNKNOWN
A--mur-DINGIR	UNKNOWN
A-a	UNKNOWN
A-ak-na	UNKNOWN
A-al!-DU10	UNKNOWN
A-al-DU10	UNKNOWN
A-al-DU10-ma	UNKNOWN
A-al-DÙG	UNKNOWN
A-am-ku-wa	UNKNOWN
A-am-ri-a	UNKNOWN
A-ba	Abia+Name
A-ba	Abāya+Name
A-ba-SILIM	UNKNOWN
A-ba-a-a	Abia+Name+1csPoss
A-ba-a-a	Abiaya+Name
A-ba-a-a	Abiaya+Name+1csPoss
A-ba-a-a	Abāya+Name
A-ba-a-a	Abāya+Name+1csPoss
A-ba-a-ba	Ababa+Name
A-ba-a-ba	Ababa+Name+1csPoss
A-ba-a-ma	Abia+Name+1csPoss+MA
A-ba-a-ma	Abia+Name+MA
A-ba-a-ma	Abiaya+Name+1csPoss+MA
A-ba-a-ma	Abiaya+Name+MA
A-ba-a-ma	Abāya+Name+1csPoss+MA
A-ba-a-ma	Abāya+Name+MA
A-ba-ba	Ababa+Name
A-ba-ba	Ababa+Name+1csPoss
A-ba-ba-a	Ababa+Name
A-ba-ba-a	Ababa+Name+1csPoss
A-ba-ba-ma	Ababa+Name+1csPoss+MA
A-ba-ba-ma	Ababa+Name+MA
A-ba-tum	UNKNOWN_NOUN_ADJ
A-bar-zi-zi-im	UNKNOWN_NOUN_ADJ
A-bi-A-nim	UNKNOWN_NOUN_ADJ
A-bi-A-num	UNKNOWN_NOUN_ADJ
A-bi-a	Abia+Name
A-bi-a	Abia+Name+1csPoss
A-bi-a	Abiaya+Name
A-bi-a-a	Abia+Name
A-bi-a-a	Abia+Name+1csPoss
A-bi-a-a	Abiaya+Name
A-bi-a-a	Abiaya+Name+1csPoss
A-bi-a-ma	Abia+Name+1csPoss+MA
A-bi-a-ma	Abia+Name+MA
A-bi-a-ma	Abiaya+Name+MA
A-bi-a-qar	UNKNOWN
A-bi-a-qar!	UNKNOWN
A-bi-a-qá-/ar	UNKNOWN
A-bi-im	UNKNOWN_NOUN_ADJ
A-bi-lá	Abila+Name
A-bi-lá	Abila+Name+1csPoss
A-bi-lá	Abī-ilī+Name+1csPoss
A-bi-lí	Abī-ilī+Name
A-bi-lí	Abī-ilī+Name+1csPoss
A-bi-tí-pá-an	UNKNOWN
A-bi4-DINGIR	Abī-ilī+Name
A-bi4-DU10	UNKNOWN
A-bi4-a	Abia+Name
A-bi4-a	Abia+Name+1csPoss
A-bi4-a	Abiaya+Name
A-bi4-a-a	Abia+Name
A-bi4-a-a	Abia+Name+1csPoss
A-bi4-a-a	Abiaya+Name
A-bi4-a-a	Abiaya+Name+1csPoss
A-bi4-a-nim	UNKNOWN_NOUN_ADJ
A-bi4-lá-ma-sí	Abi-lamassī+Name
A-bi4-lá-ma-sí	Abi-lamassī+Name+1csPoss
A-bi4-tí-pá-an	UNKNOWN
A-bi4-ì-lí	Abī-ilī+Name
A-bi4-ì-lí	Abī-ilī+Name+1csPoss
A-bu-*ša-lim	UNKNOWN_NOUN_ADJ
A-bu-DI	UNKNOWN
A-bu-DINGIR	UNKNOWN
A-bu-SILIM	UNKNOWN
A-bu-a-a	UNKNOWN
A-bu-mì-lúm	UNKNOWN
A-bu-mì-lúm-ma	UNKNOWN
A-bu-um-DINGIR	Abum-ilī+Name
A-bu-ša-lim	Abu-šalim+Name
A-bu-ša-lim-ma	Abu-šalim+Name+MA
A-da-a-ma	Adu+Name+1csPoss+MA
A-da-a-ma	Adāya+Name+1csPoss+MA
A-da-a-ma	Adāya+Name+MA
A-da-d	Adad+Name
A-da-da	Adad+Name+1csPoss
A-da-da	Adada+Name
A-da-da	Adada+Name+1csPoss
A-da-da-a	Adad+Name+1csPoss
A-da-da-a	Adada+Name
A-da-da-a	Adada+Name+1csPoss
A-da-da-ma	Adad+Name+1csPoss+MA
A-da-da-ma	Adada+Name+1csPoss+MA
A-da-da-ma	Adada+Name+MA
A-de8-la-at	UNKNOWN
A-du	Adu+Name
A-du-da	UNKNOWN
A-du-du	UNKNOWN
A-du-e	Adu+Name+1csPoss
A-du-e	Adue+Name
A-du-ma	Adu+Name+MA
A-du-ta-a	UNKNOWN
A-du-we	UNKNOWN
A-du-ú	Adu+Name
A-dí-a	UNKNOWN
A-dí-da	Adid+Name+Masc+Pl+Construct+1csPoss
A-dí-da	Adid+Name+Masc+Pl+Nom+1csPoss
A-dí-da	Adid+Name+Masc+Pl+Obl+1csPoss
A-dí-da	Adid+Name+Masc+Sg+Acc
A-dí-da	Adid+Name+Masc+Sg+Construct+1csPoss
A-dí-da	Adida+Name
A-dí-da	Adida+Name+1csPoss
A-dí-dim	Adid+Name+Masc+Sg+Gen
A-ga-a	Agia+Name
A-ga-a	Agia+Name+1csPoss
A-ga-a	Agua+Name
A-ga-a	Agua+Name+1csPoss
A-gi-a	Agia+Name
A-gi-a	Agia+Name+1csPoss
A-gi5-a	Agia+Name
A-gi5-a	Agia+Name+1csPoss
A-gi5-a-a	Agia+Name
A-gi5-a-a	Agia+Name+1csPoss
A-gi5-a-ma	Agia+Name+1csPoss+MA
A-gi5-a-ma	Agia+Name+MA
A-gi5?-a	UNKNOWN
